Date,Location,Age,Count
2/24/1991,PRH,BULL-SA4,5
2/24/1991,PRH,SA1-3,8
2/24/1991,PRH,COW,14
2/24/1991,PRH,PUP,14
2/24/1991,PRH,DEADPUP,1
2/24/1991,PRH,WNR,65
2/24/1991,PRH,IMM,1
2/26/1991,PRH,BULL-SA4,4
2/26/1991,PRH,SA1-3,6
2/26/1991,PRH,COW,11
2/26/1991,PRH,PUP,10
2/26/1991,PRH,DEADPUP,1
2/26/1991,PRH,WNR,69
3/8/1991,PRH,BULL-SA4,5
3/8/1991,PRH,SA1-3,5
3/8/1991,PRH,COW,3
3/8/1991,PRH,PUP,3
3/8/1991,PRH,DEADPUP,1
3/8/1991,PRH,WNR,67
3/8/1991,PRH,IMM,1
3/13/1991,PRH,BULL-SA4,4
3/13/1991,PRH,SA1-3,7
3/13/1991,PRH,COW,7
3/13/1991,PRH,PUP,2
3/13/1991,PRH,DEADPUP,1
3/13/1991,PRH,WNR,59
3/13/1991,PRH,IMM,8
3/22/1991,PRH,SA1-3,2
3/22/1991,PRH,WNR,44
3/22/1991,PRH,IMM,34
3/26/1991,PRH,SA1-3,1
3/26/1991,PRH,WNR,20
3/26/1991,PRH,IMM,103
11/4/1991,PRH,IMM,325
11/29/1991,PRH,SA1-3,15
11/29/1991,PRH,IMM,4
12/20/1991,PRH,BULL-SA4,1
12/20/1991,PRH,SA1-3,20
12/20/1991,PRH,COW,1
12/20/1991,PRH,PUP,1
12/20/1991,PRH,IMM,56
12/26/1991,PRH,BULL-SA4,1
12/26/1991,PRH,SA1-3,14
12/26/1991,PRH,COW,2
12/26/1991,PRH,PUP,1
12/26/1991,PRH,IMM,11
12/31/1991,PRH,BULL-SA4,2
12/31/1991,PRH,SA1-3,22
12/31/1991,PRH,COW,13
12/31/1991,PRH,PUP,4
12/31/1991,PRH,IMM,14
1/3/1992,PRH,BULL-SA4,2
1/3/1992,PRH,SA1-3,15
1/3/1992,PRH,COW,19
1/3/1992,PRH,PUP,9
1/3/1992,PRH,IMM,17
1/16/1992,PRH,BULL-SA4,1
1/16/1992,PRH,SA1-3,17
1/16/1992,PRH,COW,82
1/16/1992,PRH,PUP,44
1/16/1992,PRH,IMM,9
1/17/1992,PRH,BULL-SA4,2
1/17/1992,PRH,SA1-3,14
1/17/1992,PRH,COW,86
1/17/1992,PRH,PUP,50
1/17/1992,PRH,WNR,1
1/17/1992,PRH,IMM,16
1/30/1992,PRH,BULL-SA4,4
1/30/1992,PRH,SA1-3,14
1/30/1992,PRH,COW,105
1/30/1992,PRH,PUP,90
1/30/1992,PRH,DEADPUP,2
1/30/1992,PRH,WNR,11
1/31/1992,PRH,BULL-SA4,4
1/31/1992,PRH,SA1-3,11
1/31/1992,PRH,COW,104
1/31/1992,PRH,PUP,93
1/31/1992,PRH,DEADPUP,3
1/31/1992,PRH,WNR,8
2/3/1992,PRH,BULL-SA4,4
2/3/1992,PRH,SA1-3,13
2/3/1992,PRH,COW,105
2/3/1992,PRH,PUP,93
2/3/1992,PRH,DEADPUP,3
2/3/1992,PRH,WNR,11
2/18/1992,PRH,BULL-SA4,5
2/18/1992,PRH,SA1-3,15
2/18/1992,PRH,COW,43
