Date,Location,Age,Count
12/31/1991,PR Headlands,PUP,4
12/31/1991,PR Headlands,IMM,14
1/3/1992,PR Headlands,BULL-SA4,2
1/3/1992,PR Headlands,SA1-3,15
1/3/1992,PR Headlands,COW,19
1/3/1992,PR Headlands,PUP,9
1/3/1992,PR Headlands,IMM,17
1/16/1992,PR Headlands,BULL-SA4,1
1/16/1992,PR Headlands,SA1-3,17
1/16/1992,PR Headlands,COW,82
1/16/1992,PR Headlands,PUP,44
1/16/1992,PR Headlands,IMM,9
1/17/1992,PR Headlands,BULL-SA4,2
1/17/1992,PR Headlands,SA1-3,14
1/17/1992,PR Headlands,COW,86
1/17/1992,PR Headlands,PUP,50
1/17/1992,PR Headlands,WNR,1
1/17/1992,PR Headlands,IMM,16
1/30/1992,PR Headlands,BULL-SA4,4
1/30/1992,PR Headlands,SA1-3,14
1/30/1992,PR Headlands,COW,105
1/30/1992,PR Headlands,PUP,90
1/30/1992,PR Headlands,DEADPUP,2
1/30/1992,PR Headlands,WNR,11
1/31/1992,PR Headlands,BULL-SA4,4
1/31/1992,PR Headlands,SA1-3,11
1/31/1992,PR Headlands,COW,104
1/31/1992,PR Headlands,PUP,93
1/31/1992,PR Headlands,DEADPUP,3
1/31/1992,PR Headlands,WNR,8
2/3/1992,PR Headlands,BULL-SA4,4
2/3/1992,PR Headlands,SA1-3,13
2/3/1992,PR Headlands,COW,105
2/3/1992,PR Headlands,PUP,93
2/3/1992,PR Headlands,DEADPUP,3
2/3/1992,PR Headlands,WNR,11
2/18/1992,PR Headlands,BULL-SA4,5
2/18/1992,PR Headlands,SA1-3,15
2/18/1992,PR Headlands,COW,43
2/18/1992,PR Headlands,PUP,72
2/18/1992,PR Headlands,DEADPUP,2
2/18/1992,PR Headlands,WNR,42
3/3/1992,PR Headlands,BULL-SA4,7
3/3/1992,PR Headlands,SA1-3,7
3/3/1992,PR Headlands,COW,8
3/3/1992,PR Headlands,PUP,3
3/3/1992,PR Headlands,DEADPUP,2
3/3/1992,PR Headlands,WNR,99
3/3/1992,PR Headlands,IMM,5
3/13/1992,PR Headlands,BULL-SA4,2
3/13/1992,PR Headlands,SA1-3,11
3/13/1992,PR Headlands,COW,1
3/13/1992,PR Headlands,PUP,1
3/13/1992,PR Headlands,WNR,101
3/13/1992,PR Headlands,IMM,40
12/12/1992,PR Headlands,SA1-3,2
12/12/1992,PR Headlands,IMM,328
12/22/1992,PR Headlands,BULL-SA4,3
12/22/1992,PR Headlands,SA1-3,39
12/22/1992,PR Headlands,COW,4
12/22/1992,PR Headlands,PUP,1
12/22/1992,PR Headlands,IMM,73
12/24/1992,PR Headlands,BULL-SA4,3
12/24/1992,PR Headlands,SA1-3,28
12/24/1992,PR Headlands,COW,5
12/24/1992,PR Headlands,PUP,1
12/24/1992,PR Headlands,IMM,66
